episode,iteration,epReward,Number of Balls
889.00,11.00,4.11,1685.00
199.00,49.00,3.64,995.00
1089.00,9.00,3.77,2060.00
239.00,41.00,3.88,950.00
1969.00,5.00,4.08,2915.00
289.00,34.00,4.22,1100.00
209.00,47.00,4.70,965.00
259.00,38.00,4.29,1040.00
229.00,43.00,4.12,1070.00
219.00,45.00,3.71,1040.00
309.00,32.00,4.59,1010.00
709.00,14.00,3.52,1505.00
1989.00,5.00,4.00,2915.00
829.00,12.00,4.39,1670.00
269.00,37.00,4.40,1115.00
249.00,40.00,3.31,1040.00
769.00,13.00,4.08,1640.00
1669.00,6.00,4.28,2930.00
589.00,17.00,3.68,1355.00
669.00,15.00,4.42,1505.00
529.00,19.00,4.52,1340.00
209.00,48.00,4.84,995.00
1009.00,10.00,4.34,2060.00
219.00,46.00,3.51,995.00
259.00,39.00,4.02,1040.00
289.00,35.00,4.04,1070.00
1269.00,8.00,3.45,2435.00
1129.00,9.00,3.70,2135.00
299.00,34.00,4.17,1100.00
729.00,14.00,3.77,1565.00
309.00,33.00,3.69,1040.00
319.00,32.00,3.57,1025.00
249.00,41.00,4.10,965.00
269.00,38.00,4.05,1070.00
789.00,13.00,3.78,1685.00
209.00,49.00,3.99,995.00
1029.00,10.00,3.85,2090.00
239.00,43.00,4.39,1100.00
219.00,47.00,3.17,980.00
229.00,45.00,3.78,1040.00
279.00,37.00,4.44,1145.00
609.00,17.00,4.00,1385.00
1729.00,6.00,4.33,3005.00
259.00,40.00,4.21,1040.00
1489.00,7.00,4.09,2600.00
289.00,36.00,4.08,890.00
549.00,19.00,3.51,1355.00
1309.00,8.00,4.36,2465.00
249.00,42.00,4.59,1025.00
269.00,39.00,4.56,1040.00
309.00,34.00,4.05,1100.00
219.00,48.00,4.61,1010.00
1509.00,7.00,3.76,2660.00
